id_x;author_id;text;created_at_x;conversation_id;lang;edit_history_tweet_ids;entities.urls;entities.annotations;public_metrics.retweet_count;public_metrics.reply_count;public_metrics.like_count;public_metrics.quote_count;public_metrics.bookmark_count;public_metrics.impression_count;referenced_tweets;entities.mentions;entities.hashtags;geo.place_id;geo.coordinates.type;geo.coordinates.coordinates;withheld.copyright;withheld.country_codes_x;withheld.scope_x;entities.cashtags;name;username;description;id_y;verified;location;created_at_y;public_metrics.followers_count;public_metrics.following_count;public_metrics.tweet_count;public_metrics.listed_count;withheld.country_codes_y;withheld.scope_y;clean_text;sentiment polarity
1,41E+18;12680542;acho muito bacana o whatsapp só permitir leitura de qrcode pro whatsapp web depois de fazer reconhecimento facial;2021-06-21 13:16:41+00:00;1,41E+18;pt;['1406964289815072786'];;[{'start': 20, 'end': 27, 'probability': 0.9271, 'type': 'Other', 'normalized_text': 'whatsapp'}, {'start': 52, 'end': 57, 'probability': 0.4925, 'type': 'Other', 'normalized_text': 'qrcode'}, {'start': 63, 'end': 70, 'probability': 0.9564, 'type': 'Other', 'normalized_text': 'whatsapp'}];0;0;0;0;0;0;;;;;;;;;;;Maick Costa;maickwoc;"Eterno aprendiz!

Gestão estratégica, mapa estratégico, Consumer Experience. MSc@EAESP/FGV. 

Café, livros e um brega marcante. Amazônia para os amazônidas.";12680542;False;Belém, PA, Brazil;2008-01-25T12:47:19.000Z;1824;2122;97467;35;;;acho muito bacana o whatsapp só permitir leitura de qrcode pro whatsapp web depois de fazer reconhecimento facial;positivo
9,52E+17;16336486;O Facebook vem aprimorando a sua tecnologia de reconhecimento facial, possibilitando que deficientes visuais consigam ouvir uma descrição de quem está na foto, mesmo que o amigo não esteja marcado na publicação. Saiba mais: https://t.co/XSl5nglI2F. https://t.co/aTDyQrg62R;2018-01-11 18:02:21+00:00;9,52E+17;pt;['951514635211100161'];[{'start': 224, 'end': 247, 'url': 'https://t.co/XSl5nglI2F', 'expanded_url': 'http://bit.ly/2lYMk9D', 'display_url': 'bit.ly/2lYMk9D'}, {'start': 249, 'end': 272, 'url': 'https://t.co/aTDyQrg62R', 'expanded_url': 'https://twitter.com/rmacomunicacao/status/951514635211100161/photo/1', 'display_url': 'pic.twitter.com/aTDyQrg62R', 'media_key': '3_951514554953019392'}];[{'start': 2, 'end': 9, 'probability': 0.9303, 'type': 'Other', 'normalized_text': 'Facebook'}];0;0;0;0;0;0;;;;;;;;;;;RMA Comunicação;rmacomunicacao;Somos uma das 10 maiores agências de Comunicação Corporativa do Brasil. Atendemos diversos segmentos, tanto na mídia tradicional quanto nos meios digitais.;16336486;False;São Paulo, Brasil;2008-09-17T20:26:23.000Z;5757;1891;2974;157;;;o facebook vem aprimorando a sua tecnologia de reconhecimento facial possibilitando que deficientes visuais consigam ouvir uma descrição de quem está na foto mesmo que o amigo não esteja marcado na publicação saiba mais;positivo
1,41E+18;16933240;Órgãos de proteção de dados da Europa querem banir reconhecimento facial https://t.co/WEFK5qYhgE https://t.co/Eafy4ILc52;2021-06-21 19:20:03+00:00;1,41E+18;pt;['1407055734647537664'];[{'start': 73, 'end': 96, 'url': 'https://t.co/WEFK5qYhgE', 'expanded_url': 'https://bit.ly/3d1slSR', 'display_url': 'bit.ly/3d1slSR'}, {'start': 97, 'end': 120, 'url': 'https://t.co/Eafy4ILc52', 'expanded_url': 'https://twitter.com/convergencia/status/1407055734647537664/photo/1', 'display_url': 'pic.twitter.com/Eafy4ILc52', 'media_key': '3_1407055732894208002'}];[{'start': 31, 'end': 36, 'probability': 0.9773, 'type': 'Place', 'normalized_text': 'Europa'}];2;0;0;0;0;0;;;;;;;;;;;Convergência Digital;convergencia;site de noticias e análises de TI, Telecom e economia digital.;16933240;False;;2008-10-23T19:12:24.000Z;13946;822;44636;467;;;órgãos de proteção de dados da europa querem banir reconhecimento facial;negativo
1,41E+18;26908759;"""O Conselho Europeu para a Proteção de Dados e a Autoridade Europeia para a Proteção de Dados defendem que a proibição do uso de sistemas de reconhecimento facial em espaços públicos é fundamental para preservar os direitos e liberdades dos cidadãos da UE.""https://t.co/wcK5ODrdX5";2021-06-21 17:39:32+00:00;1,41E+18;pt;['1407030439840210953'];[{'start': 257, 'end': 280, 'url': 'https://t.co/wcK5ODrdX5', 'expanded_url': 'https://tek.sapo.pt/noticias/computadores/artigos/autoridades-europeias-apelam-a-proibicao-de-sistemas-de-reconhecimento-facial-com-ia-em-espacos-publicos', 'display_url': 'tek.sapo.pt/noticias/compu…', 'status': 200, 'unwound_url': 'https://tek.sapo.pt/noticias/computadores/artigos/autoridades-europeias-apelam-a-proibicao-de-sistemas-de-reconhecimento-facial-com-ia-em-espacos-publicos'}];[{'start': 12, 'end': 18, 'probability': 0.5978, 'type': 'Organization', 'normalized_text': 'Europeu'}, {'start': 60, 'end': 67, 'probability': 0.4599, 'type': 'Organization', 'normalized_text': 'Europeia'}, {'start': 253, 'end': 254, 'probability': 0.9286, 'type': 'Place', 'normalized_text': 'UE'}];2;0;7;0;0;0;;;;;;;;;;;Luã;technolua;Amazonense que ama e odeia a Internet. Tô no @idec | Mestrando em Divulgação Científica e Cultural @unicampoficial | Diretor @isocbrasil | Cria da @uff_br;26908759;False;Bahia;2009-03-27T01:05:41.000Z;668;1493;529;5;;;o conselho europeu para a proteção de dados e a autoridade europeia para a proteção de dados defendem que a proibição do uso de sistemas de reconhecimento facial em espaços públicos é fundamental para preservar os direitos e liberdades dos cidadãos da ue;negativo
9,51E+17;44939343;Universidade usa reconhecimento facial para controlar frequência dos alunos. https://t.co/fjiOi7so7G;2018-01-11 06:59:43+00:00;9,51E+17;pt;['951347877447700480'];[{'start': 77, 'end': 100, 'url': 'https://t.co/fjiOi7so7G', 'expanded_url': 'https://fb.me/MyecL7Yk', 'display_url': 'fb.me/MyecL7Yk'}];;2;0;1;0;0;0;;;;;;;;;;;Coriolano Camargo;CoriolanoAC;Advogado. Doctor of Law (Ph.D.). Coordenador da Pós-graduação de Direito Digital  e Compliance do Damásio. Conselheiro Estadual da OAB/SP.Juiz do TIT/SP.;44939343;False;Brazil;2009-06-05T17:04:19.000Z;14782;12783;11831;423;;;univeidade usa reconhecimento facial para controlar frequência dos alunos;neutro
1,61E+18;46645878;Usei o chat gpt e estou com medo da capacidade desse monstro 😬;2022-12-26 20:36:13+00:00;1,61E+18;pt;['1607475391102418946'];;;0;0;0;0;0;59;;;;;;;;;;;Gab's Diary;GabsDSousa;"🏳️‍🌈 Ele/o - he/him, Pan

🧑‍💻 Back-end dev

🎈31 anos - years";46645878;False;Juiz de Fora, Brasil;2009-06-12T13:02:08.000Z;108;228;5297;1;;;usei o chat gpt e estou com medo da capacidade desse monstro;negativo
1,61E+18;49292227;#Google emite “sinal de alerta” após lançamento do #ChatGPT  - https://t.co/zjikIB30sz;2022-12-27 12:11:35+00:00;1,61E+18;pt;['1607710786159247371'];[{'start': 63, 'end': 86, 'url': 'https://t.co/zjikIB30sz', 'expanded_url': 'https://invst.ly/zwxqv', 'display_url': 'invst.ly/zwxqv', 'unwound_url': 'https://invst.ly/zwxqv'}];[{'start': 1, 'end': 6, 'probability': 0.9192, 'type': 'Organization', 'normalized_text': 'Google'}, {'start': 52, 'end': 58, 'probability': 0.6648, 'type': 'Other', 'normalized_text': 'ChatGPT'}];0;0;6;0;0;2155;;;[{'start': 0, 'end': 7, 'tag': 'Google'}, {'start': 51, 'end': 59, 'tag': 'ChatGPT'}];;;;;;;;Investing.com Brasil 🇧🇷;InvestingBrasil;O principal portal financeiro que oferece cotações em tempo real, gráficos streaming, notícias financeiras atualizadas, análises técnicas e mais.;49292227;False;;2009-06-21T11:10:32.000Z;214699;490;80916;1414;;;google emite “sinal de alerta” após lançamento do chatgpt;negativo
9,52E+17;61949273;@tixas2 @andrewslince @naosoumenor @andrewcpacifico @fabiooml Primeiro que plugar um chatbot, ganha;2018-01-11 18:52:27+00:00;9,52E+17;pt;['951527241023967232'];;;0;0;0;0;0;0;[{'type': 'replied_to', 'id': '951514468420280320'}];[{'start': 0, 'end': 7, 'username': 'tixas2', 'id': '100091866'}, {'start': 8, 'end': 21, 'username': 'andrewslince', 'id': '29755591'}, {'start': 22, 'end': 34, 'username': 'naosoumenor', 'id': '25943789'}, {'start': 35, 'end': 51, 'username': 'andrewcpacifico', 'id': '1523331226911846408'}, {'start': 52, 'end': 61, 'username': 'fabiooml', 'id': '82532128'}];;;;;;;;;Manderson Cruz;mandersonwr;i used to code just for fun;61949273;False;Manaus, Brasil;2009-08-01T03:23:16.000Z;123;730;368;0;;;primeiro que plugar um chatbot ganha;neutro
9,51E+17;63823019;Como desenvolver um chatbot? Aprenda sobre essa tecnologia na Maratona Bots, que começa no dia 15 de janeiro. Conheça: https://t.co/kXYI8PpAiA https://t.co/pU5OlIRszn;2018-01-10 21:02:52+00:00;9,51E+17;pt;['951197674346373121'];[{'start': 119, 'end': 142, 'url': 'https://t.co/kXYI8PpAiA', 'expanded_url': 'http://bit.ly/2FnLj3V', 'display_url': 'bit.ly/2FnLj3V'}, {'start': 143, 'end': 166, 'url': 'https://t.co/pU5OlIRszn', 'expanded_url': 'https://twitter.com/MicrosoftBr/status/951197674346373121/photo/1', 'display_url': 'pic.twitter.com/pU5OlIRszn', 'media_key': '3_951197643891503104'}];[{'start': 62, 'end': 74, 'probability': 0.824, 'type': 'Other', 'normalized_text': 'Maratona Bots'}];12;0;36;1;0;0;;;;;;;;;;;Microsoft Brasil;MicrosoftBr;Perfil oficial da Microsoft Brasil. Fique por dentro das últimas notícias e novidades. Para suporte técnico, por favor, visite o @microsoftajuda;63823019;False;Brasil;2009-08-07T20:49:25.000Z;645377;297;15306;1490;;;como desenvolver um chatbot aprenda sobre essa tecnologia na maratona bots que começa no dia de janeiro conheça;neutro
9,51E+17;68207698;Google e Intel lançam kit de inteligência artificial para reconhecimento de objetos  https://t.co/FIikf8VJ2H;2018-01-11 02:27:06+00:00;9,51E+17;pt;['951279269803589633'];[{'start': 85, 'end': 108, 'url': 'https://t.co/FIikf8VJ2H', 'expanded_url': 'https://www.infoq.com/br/news/2018/01/aiy-vision-kit-google', 'display_url': 'infoq.com/br/news/2018/0…'}];[{'start': 0, 'end': 5, 'probability': 0.9671, 'type': 'Organization', 'normalized_text': 'Google'}, {'start': 9, 'end': 13, 'probability': 0.9617, 'type': 'Organization', 'normalized_text': 'Intel'}];0;0;0;0;0;0;;;;;;;;;;;Luiz Natividade;Luiz_Natividade;Founder & Empreendedor;68207698;False;Rio de Janeiro, RJ, Brasil;2009-08-23T18:48:45.000Z;117;142;741;0;;;google e intel lançam kit de inteligência artificial para reconhecimento de objetos;neutro
